pic href	pic src	trunc-title	float-left	float-right	float-left 2	float-right 2	float-right 3	float-left 4	item_extra_info	float-right 5	red_small	float-left 5	float-left 6	float-right 6	float-left 7
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-june-4-2024-109/item/account-no-r000034496-lots-3-and-4-block-22-hynson-addition-to-the-city-of-marshall-harrison-county-texas-suit-no-14-0073-t-2527/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/109/1714690552/w0001-1_t.jpg	Account No. R000034496 - Lots 3 and 4, Block 22, Hynson Addition to the City of Marshall, Harrison County, Texas ::::: Suit No. 14-0073-T	High Bidder:	4125	Current Bid:	$4,672.53	$4,722.53	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-august-5-2025-147/item/withdrawn-account-nos-73524-and-21830-a-manufactured-home-serial-txflv84a13629gh11txflv84b13629gh11-label-rad097848687-and-lot-k7182-plat-k71-horseshoe-bay-south-city-of-horseshoe-bay-burnet-county-texas-suit-no-38126-3637/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/147/1751310645/w0001-1_t.jpg	WITHDRAWN Account Nos. 73524 and 21830 - A Manufactured Home, Serial #TXFLV84A13629GH11/TXFLV84B13629GH11, Label #RAD0978486/87, and Lot K7182, Plat K7.1, Horseshoe Bay South, City of Horseshoe Bay, Burnet County, Texas ::::: Suit No. 38,126	Current Bid:	$0.00		$26,450.00	$100.00	Bid Increment:	WITHDRAWN			Item Location:			
https://www.mvbataxsales.com/auction/henderson-county-online-property-tax-sale-march-5-2024-102/item/withdrawn-from-sale-account-no-00191150000001-0680-acres-more-or-less-out-of-the-jb-atwood-survey-abstract-19-henderson-county-texas-suit-no-tax21-0155-173-2506/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/102/1707435332/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. 0019.1150.0000.01 - 0.680 Acres, more or less, out of the J.B. Atwood Survey, Abstract 19, Henderson County, Texas ::::: Suit No. TAX21-0155-173	Current Bid:	$0.00		$17,632.37	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-december-7-2021-82/item/account-no-62809-lot-23t-the-oaks-subdivision-unit-xi-comal-county-texas-suit-no-t-9038c-approximate-property-address-280-high-oaks-road-1848/	https://d2jg8vcunvbhyl.cloudfront.net/user_images2/1848_9339289.jpg	Account No. 62809 - Lot 23T, The Oaks Subdivision, Unit XI, Comal County, Texas ::::: Suit No. T-9038C ::::: Approximate Property Address: 280 High Oaks Road	High Bidder:	1162	Current Bid:	$45,100.00	$45,200.00	Min Bid:		Closed (bidding was extended)	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-april-1-2025-139/item/account-no-r000005757-3400-acres-more-or-less-out-of-the-william-steele-survey-abstract-655-harrison-county-texas-suit-no-22-0393t-3412/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/139/1741375441/w0001-1_t.jpg	Account No. R000005757 - 34.00 Acres, more or less, out of the William Steele Survey, Abstract 655, Harrison County, Texas ::::: Suit No. 22-0393T	Current Bid:	$0.00		$99,165.73	$500.00	Bid Increment:		, , TX	(bidding was extended)	Time Remaining:	Item Location:		
https://www.mvbataxsales.com/auction/layout-test-53/item/test-account-no-000000111726-50-acres-more-or-less-being-lot-24a-block-c-tres-vidas-ranch-subdivision-hill-county-texas-suit-no-10653a-approximate-property-address-244-pr-482-hillsboro-1191/	https://www.mvbataxsales.com/images/nophoto.png	TEST Account No. 000000111726 - 5.0 acres, more or less, being Lot 24A, Block C, Tres Vidas Ranch Subdivision, Hill County, Texas (Suit No. 10653A) ::::: Approximate Property Address: 244 PR 482, Hillsboro	High Bidder:	42	Current Bid:	$1.00	$6.00	Min Bid:	Extra Info: Minimum Bid: TBD	Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-november-5-2024-123/item/withdrawn-from-sale-account-no-31317-lot-25-the-highlands-city-of-new-braunfels-comal-county-texas-suit-no-t-10230e-approximate-property-address-41-highlands-circle-new-braunfels-texas-2893/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/123/1728656887/w0001-1_t.jpg	*WITHDRAWN FROM SALE* Account No. 31317 - Lot 25, The Highlands, City of New Braunfels, Comal County, Texas ::::: Suit No. T-10230E ::::: Approximate Property Address: 41 Highlands Circle, New Braunfels, Texas	Current Bid:	$0.00		$8,662.67	$100.00	Bid Increment:	*WITHDRAWN FROM SALE*			Item Location:			
https://www.mvbataxsales.com/auction/henderson-county-online-property-tax-sale-september-3-2024-119/item/account-no-2780-0009-0620-100-lot-62-block-9-forest-grove-subdivision-henderson-county-texas-suit-no-tax20-0074-173-2733/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/119/1723520891/w0001-1_t.jpg	Account No. 2780-0009-0620-100 - Lot 62, Block 9, Forest Grove Subdivision, Henderson County, Texas ::::: Suit No. TAX20-0074-173	High Bidder:	663	Current Bid:	$37,600.00	$37,700.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/henderson-county-online-property-tax-sale-december-3-2024-127/item/withdrawn-from-sale-account-no-230147-1350-acres-more-or-less-situated-in-the-aaron-york-survey-abstract-487-henderson-county-texas-as-described-in-deed-dated-december-2-2015-from-larry-l-batson-to-nathan-l-batson-in-clerks-file-2017-00017140-official-records-of-henderson-county-texas-suit-no-tax20-0353-3-3141/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/127/1731966682/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. 230147 - 13.50 acres, more or less, situated in the Aaron York Survey, Abstract 487, Henderson County, Texas, as described in deed dated December 2, 2015, from Larry L. Batson to Nathan L. Batson, in Clerk's File #2017-00017140, Official Records of Henderson County, Texas ::::: Suit No. TAX20-0353-3	Current Bid:	$0.00		$8,942.40	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/gladewater-isdcity-of-gladewaterpine-tree-isd-gregg-county-online-property-tax-sale-august-5-2025-151/item/account-no-000039021-lot-10-block-1-new-city-block-3380-country-club-addition-b-city-of-longview-gregg-county-texas-suit-no-022220-ccl2-3738/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/151/1752088010/w0001-1_t.jpg	Account No. 000039021 - Lot 10, Block 1, New City Block 3380, Country Club Addition B, City of Longview, Gregg County, Texas ::::: Suit No. 022220-CCL2	High Bidder:	6499	Current Bid:	$18,100.00	$18,200.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
