item_url,image_url,title,current_bid,min_bid,bid_increment,high_bidder,bids,time_remaining,item_location,status,extra_info
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-september-6-2022-90/item/withdrawn-from-saleaccount-no-103173-lot-25-canyon-oaks-estates-and-a-manufactured-home-label-hwc0046389-comal-county-texas-suit-no-t-8954d-approximate-property-address-57-lilac-ln-2044/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/90/1660918764/w0001-1_t.jpg,"**WITHDRAWN FROM SALE**Account No. 103173 - Lot 25, Canyon Oaks Estates, and a Manufactured Home, Label #HWC0046389, Comal County, Texas ::::: Suit No. T-8954D ::::: Approximate Property Address: 57 Lilac Ln",$0.00,$100.00,"$5,310.18",,,,,WITHDRAWN,
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-april-1-2025-139/item/account-no-r000005757-3400-acres-more-or-less-out-of-the-william-steele-survey-abstract-655-harrison-county-texas-suit-no-22-0393t-3412/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/139/1741375441/w0001-1_t.jpg,"Account No. R000005757 - 34.00 Acres, more or less, out of the William Steele Survey, Abstract 655, Harrison County, Texas ::::: Suit No. 22-0393T",$0.00,$500.00,"$99,165.73",,,", , TX",,CLOSED,(bidding was extended)
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-march-4-2025-130/item/withdrawn-account-no-39587-lots-203-204-205-and-206-sherwood-shores-iv-section-sherwood-shores-no-2-burnet-county-texas-suit-no-37157-approximate-property-address-909-wilson-drive-granite-shoals-texas-3260/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/130/1738772487/w0001-1_t.jpg,"WITHDRAWN - Account No. 39587 - Lots 203, 204, 205 and 206, Sherwood Shores IV Section, Sherwood Shores No. 2, Burnet County, Texas ::::: Suit No. 37,157 ::::: Approximate Property Address: 909 Wilson Drive, Granite Shoals, Texas",$0.00,$100.00,"$19,760.00",,,,,WITHDRAWN,WITHDRAWN
https://www.mvbataxsales.com/auction/gladewater-isdcity-of-gladewaterpine-tree-isd-gregg-county-online-property-tax-sale-february-4-2025-128/item/bid-in-trust-account-no-000052141n00655139-lots-16-17-block-1-lavelle-addition-city-of-gladewater-gregg-county-texas-suit-no-022348-ccl2-3172/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/128/1737495120/w0001-1_t.jpg,"BID IN TRUST Account No. 000052141/N00655139 - Lots 16 & 17, Block 1, Lavelle Addition, City of Gladewater, Gregg County, Texas ::::: Suit No. 022348-CCL2",$0.00,$50.00,"$3,415.83",,,", , TX",,CLOSED,BID IN TRUST
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-june-7-2022-88/item/account-no-148806-lot-77-ensenada-shores-at-canyon-lake-unit-4-comal-county-texas-suit-no-t-9546a-approximate-property-address-2138-sierra-madre-2031/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/88/1652306210/w0001-1_t.jpg,"Account No. 148806 - Lot 77, Ensenada Shores at Canyon Lake, Unit 4, Comal County, Texas ::::: Suit No. T-9546A ::::: Approximate Property Address: 2138 Sierra Madre","$109,500.00","$1,000.00","$110,500.00",400,154,", , TX",,CLOSED,(bidding was extended)
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-june-4-2024-110/item/withdrawn-from-sale-account-no-62203-lot-121-tanglewood-shores-subdivision-comal-county-texas-suit-no-t-9716c-approximate-property-address-1207-clear-creek-dr-canyon-lake-texas-2584/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/110/1715349715/w0001-1_t.jpg,"**WITHDRAWN FROM SALE ** Account No. 62203 - Lot 121, Tanglewood Shores Subdivision, Comal County, Texas ::::: Suit No. T-9716C ::::: Approximate Property Address: 1207 Clear Creek Dr., Canyon Lake, Texas",$0.00,$100.00,"$8,088.00",,,,,WITHDRAWN,**WITHDRAWN FROM SALE**
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-june-7-2022-87/item/account-no-31585-lot-81-mystic-castle-section-sherwood-shores-city-of-granite-shoals-burnet-county-texas-suit-no-45083-1998/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/87/1651068800/w0001-1_t.jpg,"Account No. 31585 - Lot 81, Mystic Castle Section, Sherwood Shores, City of Granite Shoals, Burnet County, Texas ::::: Suit No. 45083","$5,000.00",$50.00,"$5,050.00",403,83,", , TX",,CLOSED,(bidding was extended)
https://www.mvbataxsales.com/auction/cherokee-county-online-property-tax-sale-july-2-2024-113/item/withdrawn-from-sale-account-no-105307000-25455-acres-more-or-less-out-of-abstract-40-of-the-j-pineda-survey-and-described-by-the-cherokee-county-appraisal-district-as-tracts-7-and-14-block-1782-cherokee-county-texas-suit-no-2006100682-2602/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/113/1718233570/w0001-1_t.jpg,"***WITHDRAWN FROM SALE*** Account No. 105307000 - 25.455 acres, more or less, out of Abstract 40 of the J. Pineda Survey and described by the Cherokee County Appraisal District as Tracts 7 and 14, Block 1782, Cherokee County, Texas ::::: Suit No. 2006100682",$0.00,$100.00,"$29,374.09",,,,,WITHDRAWN,WITHDRAWN FROM SALE
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-june-6-2023-97/item/withdrawn-from-sale-account-no-48480-lot-13-ridgeview-oaks-west-subdivision-comal-county-texas-suit-no-t-10052d-approximate-property-address-3014-view-ridge-dr-2135/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/97/1683307519/w0001-1_t.jpg,"**WITHDRAWN FROM SALE ** Account No. 48480 - Lot 13, Ridgeview Oaks West Subdivision, Comal County, Texas ::::: Suit No. T-10052D ::::: Approximate Property Address: 3014 View Ridge Dr",$0.00,$100.00,"$5,907.54",,,,,WITHDRAWN,***WITHDRAWN FROM SALE***
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-march-1-2022-84/item/account-no-36652-lot-17-block-5-lone-star-addition-no-2-city-of-new-braunfels-comal-county-texas-suit-no-t-9323a-approximate-property-address-2250-w-bridge-st-1989/,https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/84/1644448255/w0001-1_t.jpg,"Account No. 36652 - Lot 17, Block 5, Lone Star Addition No 2, City of New Braunfels, Comal County, Texas ::::: Suit No. T-9323A ::::: Approximate Property Address: 2250 W Bridge St","$136,000.00","$1,000.00","$137,000.00",1343,309,", , TX",,CLOSED,(bidding was extended)
